id;conclusion_name;conclusion_content;creation_date;modification_date
1;Licensed;orchid infomediaries Salad;2020-03-15T09:39:03;2020-03-14T23:39:02
2;Rustic Metal Table redundant;circuit Configurable 6th generation;2020-03-15T19:45:20;2020-03-15T16:40:32
3;yellow;Democratic People's Republic of Korea Cheese Handcrafted Granite Pizza;2020-03-14T21:27:54;2020-03-15T17:30:23
4;Cambridgeshire Japan;Borders;2020-03-15T12:43:49;2020-03-15T03:57:52
5;Qatari Rial;exuding;2020-03-14T23:48:46;2020-03-15T02:52:40
6;interactive;Operative Officer index;2020-03-14T21:13:22;2020-03-15T14:12:22
7;Frozen navigating Executive;Mountain TCP optimize;2020-03-15T07:55:05;2020-03-15T17:02:44
8;District Sleek Antigua and Barbuda;Algerian Dinar driver Extensions;2020-03-15T09:55:00;2020-03-15T08:10:24
9;Unbranded Plastic Soap SDD;turn-key olive;2020-03-15T04:42:40;2020-03-15T10:14:15
10;Home Loan Account solid state wireless;applications;2020-03-14T20:47:21;2020-03-14T20:12:15
