id;title;news;creation_date;modification_date
1;niches Small;Compatible Pa'anga hack;2020-03-15T18:26:20;2020-03-15T18:05:52
2;Gloves Fiji Cheese;Consultant analyzing;2020-03-15T17:41:38;2020-03-15T19:12:26
3;Plastic deposit;maximize;2020-03-14T21:18:49;2020-03-15T02:32:05
4;card North Korean Won;Directives synthesizing;2020-03-15T07:34:29;2020-03-15T18:28:51
5;platforms bandwidth;Electronics invoice Tasty Rubber Sausages;2020-03-15T00:28:26;2020-03-15T19:31:52
6;Security Quality;synergistic Home Loan Account;2020-03-15T09:34:11;2020-03-15T12:05:58
7;orange cohesive extensible;Som Granite;2020-03-15T04:53:54;2020-03-15T04:10:21
8;Small Soft Computer Bedfordshire;Checking Account metrics olive;2020-03-15T18:50:00;2020-03-14T22:18:42
9;neural global;Cotton;2020-03-15T06:29:33;2020-03-15T01:40:05
10;Fresh;payment Programmable;2020-03-15T02:20:07;2020-03-14T23:25:55
